title,url,price,location,beds,baths,type,posted,agent,featured
"4 Rooms (2 Bathroom) Flat Rent For Office Rent in Satdobato, Lalitpur",https://nepalpropertybazaar.com/property/4-rooms-2-bathroom-flat-rent-for-office-rent-in-satdobato-lalitpur/,"Rs40,000/Month","Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",Beds:4,Baths:2,Commercial,2 days ago,NPB-Rent,True
"Top Floor Commercial Flat Rent in Sankhamul, Kathmandu",https://nepalpropertybazaar.com/property/top-floor-commercial-flat-rent-in-sankhamul-kathmandu/,"Rs25,000/Month","Sankhamul Marg, Shankhamul Chok, Buddhnagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",Beds:3,Bath:1,Flat / Apartment,3 days ago,NPB-Rent,True
"2BHK (Private Gate) Flat Rent in Kausaltar, Tersatar, Thimi, Bhaktapur",https://nepalpropertybazaar.com/property/2bhk-private-gate-flat-rent-in-kausaltar-tersatar-thimi-bhaktapur/,"Rs22,000/Month","kausaltar, Araniko Highway, sachet marga tole, Kaushaltar, Madhyapur Thimi-02, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44810, Nepal",Beds:2,Bath:1,Flat / Apartment,3 days ago,NPB-Rent,True
"2 Room Rent in Dhapakhel, Lalitpur",https://nepalpropertybazaar.com/property/2-room-rent-in-dhapakhel-lalitpur/,"Rs6,000/Month","Dhapakhel, Lalitpur-24, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagmati Province, 41700, Nepal",Bed:1,Bath:1,Room,3 days ago,NPB-Rent,True
"2BHK Brand New Flat Rent in Pasikot, Budhanilkantha, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-brand-new-flat-rent-in-pasikot-budhanilkantha-kathmandu-3/,"Rs15,000/Month","Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",Beds:2,Bath:1,Flat / Apartment,3 days ago,NPB-Rent,True
"1BHK Flat Rent in Bagdol, Lalitpur",https://nepalpropertybazaar.com/property/1bhk-flat-rent-in-bagdol-lalitpur/,"Rs21,000/Month","Bagdol, Basnetgaun, Lalitpur-04, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",Bed:1,Bath:1,Flat / Apartment,3 days ago,NPB-Rent,True
"2BHK Fully Furnished Apartment Rent in Jhamsikhel, Lalitpur",https://nepalpropertybazaar.com/property/2bhk-fully-furnished-apartment-rent-in-jhamsikhel-lalitpur/,"Rs45,000/Month","Jhamsikhel, Dhobighat, Lalitpur-03, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagmati Province, 44690, Nepal",Beds:2,Bath:1,Flat / Apartment,3 days ago,NPB-Rent,True
"2BHK (2 Bathroom) Flat Rent in Kupondole, Lalitpur",https://nepalpropertybazaar.com/property/2bhk-2-bathroom-flat-rent-in-kupondole-lalitpur/,"Rs35,000/Month","Kupondole, Lalitpur-10, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 00779, Nepal",Beds:2,Baths:2,Flat / Apartment,3 days ago,NPB-Rent,True
"2BHK (2 Bathroom) Flat Rent in Lazimpat, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-2-bathroom-flat-rent-in-lazimpat-kathmandu/,"Rs35,000/Month","Lazimpat, Kathmandu-02, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 14600, Nepal",Beds:2,Baths:2,Flat / Apartment,3 days ago,NPB-Rent,True
"2BHK Flat Rent in Kapan, Mandikhatar, Kathmandu",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-kapan-mandikhatar-kathmandu/,"Rs25,000/Month","kapan->> jagadol road, Budhanilkantha-11, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 21740, Nepal",Beds:2,Bath:1,Flat / Apartment,3 days ago,NPB-Rent,True
"1BHK Flat Rent in Balkot, Bhaktapur",https://nepalpropertybazaar.com/property/1bhk-flat-rent-in-balkot-bhaktapur-2/,"Rs15,000/Month","Balkot, Balkot-Biruwa Road, Suryabinayak-02, Sirutar, Suryabinayak Municipality, Bhaktapur, Bagamati Province, 44708, Nepal",Bed:1,Bath:1,Flat / Apartment,3 days ago,NPB-Rent,True
