house_type,house_size,city,location,,price
2BHK ,900,Delhi,Sector 19 Dwarka,,30000
2BHK ,850,Delhi,Sector 19 Dwarka,,28000
Studio ,500,Delhi,Uttam Nagar,,6499
1BHK ,500,Delhi,Uttam Nagar,,8000
3BHK ,750,Delhi,Khirki Extension,,15000
2BHK ,900,Delhi,Sector 19 Dwarka,,20000
2BHK ,"1,000",Delhi,Sector 19 Dwarka,,25000
2BHK ,900,Delhi,Sector 19 Dwarka,,32000
2BHK ,900,Delhi,Sector 19 Dwarka,,25000
2BHK ,950,Delhi,Sector 19 Dwarka,,32000
2BHK ,900,Delhi,Sector 19 Dwarka,,18000
3BHK ,"1,700",Delhi,Sector 5 Dwarka,,37000
2BHK ,900,Delhi,Sector 19 Dwarka,,15000
3BHK ,"1,600",Delhi,Sarvpriya Vihar,,65000
4BHK ,"4,000",Delhi,Panchsheel Park,,300000
4BHK ,"4,000",Delhi,New Friends Colony,,130000
2BHK ,"1,500",Delhi,Defence Colony,,140000
3BHK ,"1,600",Delhi,Greater kailash 1,,75000
3BHK ,"2,200",Delhi,Greater Kailash,,55000
3BHK ,"2,700",Delhi,Greater kailash 1,,125000
3BHK ,"1,600",Delhi,Greater kailash 1,,80000
3BHK ,"2,500",Delhi,Defence Colony,,160000
3BHK ,"1,800",Delhi,Sarvodaya Enclave,,84800
2BHK ,830,Delhi,Sector 11 Rohini,,18000
2BHK ,850,Delhi,Sector 13 Rohini,,20000
2BHK ,908,Delhi,Malviya Nagar,,22000
3BHK ,"1,600",Delhi,Greater kailash 1,,75000
2BHK ,830,Delhi,Sector 11 Rohini,,18000
4BHK ,"4,200",Delhi,Greater kailash 1,,210000
3BHK ,"3,400",Delhi,Gulmohar park,,225000
7BHK ,"9,000",Delhi,Greater Kailash,,1000000
3BHK ,550,Delhi,Uttam Nagar,,5500
3BHK ,"2,500",Delhi,Defence Colony,,200000
4BHK ,"1,650",Delhi,Sector 8,,24000
2BHK ,"1,200",Delhi,Khushi Ram Park Delhi,,17000
2BHK ,"1,500",Delhi,Janakpuri,,32000
3BHK ,343,Delhi,Bindapur,,23456
3BHK ,"2,250",Delhi,Paschim Vihar,,60000
4BHK ,"2,700",Delhi,Paschim Vihar,,100000
3BHK ,"1,800",Delhi,Paschim Vihar,,42000
4BHK ,"3,600",Delhi,Vasant Vihar,,250000
4BHK ,"4,500",Delhi,Sheikh Sarai,,250000
3BHK ,"1,500",Delhi,Vasant Kunj,,70000
3BHK ,"1,800",Delhi,Sector-B Vasant Kunj,,75000
3BHK ,900,Delhi,Vasant Kunj,,26000
3BHK ,"1,600",Delhi,Sector-B Vasant Kunj,,60000
4BHK ,"1,800",Delhi,Vasant Kunj,,80000
1BHK ,700,Delhi,vikaspuri,,15000
3BHK ,600,Delhi,SULTANPUR,,14000
Studio ,250,Delhi,Gujranwala Town,,13000
3BHK ,"1,460",Delhi,Chittaranjan Park,,70000
3BHK ,"1,800",Delhi,Greater Kailash,,113000
4BHK ,"3,150",Delhi,Greater Kailash,,150000
4BHK ,"2,700",Delhi,Greater Kailash,,170000
3BHK ,"2,400",Delhi,Greater Kailash,,105000
3BHK ,"2,450",Delhi,Greater kailash 1,,127000
3BHK ,"2,450",Delhi,Greater kailash 1,,127000
4BHK ,"2,900",Delhi,Chittaranjan Park,,150000
5BHK ,"4,950",Delhi,Greater Kailash,,275000
4BHK ,"4,050",Delhi,Kalkaji,,115000
Studio ,450,Delhi,Model Town,,16000
3BHK ,690,Delhi,Uttam Nagar,,18000
2BHK ,"1,800",Delhi,DLF Phase 5,,42000
3BHK ,700,Delhi,masoodpur,,21000
2BHK ,"1,100",Delhi,Vasant Kunj,,37000
2BHK ,"1,200",Delhi,Munirka,,37000
3BHK ,"2,500",Delhi,East of Kailash,,125000
3BHK ,"2,700",Delhi,Greater Kailash,,90000
3BHK ,"1,440",Delhi,Chittaranjan Park,,75000
4BHK ,"2,400",Delhi,Sector 11 Dwarka,,48000
3BHK ,"1,800",Delhi,Sector 4 Dwarka,,35000
2BHK ,"1,200",Delhi,Sector 19 Dwarka,,32000
2BHK ,"1,000",Delhi,Paschim Vihar,,22000
4BHK ,"2,400",Delhi,Sector 11 Dwarka,,48000
4BHK ,"2,400",Delhi,Sector 6 Dwarka,,52000
3BHK ,500,Delhi,Sector-18 Dwarka,,12000
3BHK ,"1,900",Delhi,Sector 4 Dwarka,,35000
3BHK ,"2,000",Delhi,Sector-18 Dwarka,,35000
3BHK ,"2,000",Delhi,Sector 4 Dwarka,,32000
2BHK ,"1,000",Delhi,Sector 5 Dwarka,,25000
3BHK ,"1,800",Delhi,Sector 3 Dwarka,,38000
4BHK ,"1,800",Delhi,Sector 5 Dwarka,,38000
3BHK ,"1,800",Delhi,dwarka sector 17,,48000
3BHK ,"1,700",Delhi,Sector 22 Dwarka,,45000
4BHK ,"2,500",Delhi,Sector 6 Dwarka,,45000
3BHK ,"1,800",Delhi,Sector 19 Dwarka,,40000
3BHK ,"1,900",Delhi,Sector 4 Dwarka,,35000
3BHK ,450,Delhi,Chattarpur,,10000
3BHK ,365,Delhi,Karampura,,15000
3BHK ,600,Delhi,SULTANPUR,,16000
3BHK ,"1,900",Delhi,Sector 11 Dwarka,,45000
2BHK ,"1,400",Delhi,Sector 23 Dwarka,,34000
3BHK ,"1,800",Delhi,Sector 22 Dwarka,,34000
2BHK ,720,Delhi,Sector 19 Dwarka,,27000
2BHK ,720,Delhi,Sector 23 Dwarka,,28000
2BHK ,"1,100",Delhi,Sector 11 Dwarka,,28000
2BHK ,720,Delhi,Sector 19 Dwarka,,30000
4BHK ,"2,400",Delhi,Sector 4 Dwarka,,43000
3BHK ,"1,500",Delhi,Sector 7 Dwarka,,35000
2BHK ,900,Delhi,Masjid Moth Village,,35000
3BHK ,"1,600",Delhi,Sector-18 Dwarka,,38000
2BHK ,"1,000",Delhi,Paschim Vihar,,22000
3BHK ,450,Delhi,Sector-18 Dwarka,,15000
3BHK ,"2,000",Delhi,Sector 6 Dwarka,,38000
4BHK ,"2,400",Delhi,Sector 11 Dwarka,,48000
3BHK ,"1,800",Delhi,Sector 4 Dwarka,,35000
2BHK ,"1,200",Delhi,Sector 19 Dwarka,,32000
2BHK ,"1,000",Delhi,Paschim Vihar,,22000
4BHK ,"2,400",Delhi,Sector 11 Dwarka,,48000
4BHK ,"2,400",Delhi,Sector 6 Dwarka,,52000
3BHK ,500,Delhi,Sector-18 Dwarka,,12000
3BHK ,"1,900",Delhi,Sector 4 Dwarka,,35000
3BHK ,"2,000",Delhi,Sector-18 Dwarka,,35000
3BHK ,"2,000",Delhi,Sector 4 Dwarka,,32000
2BHK ,"1,000",Delhi,Sector 5 Dwarka,,25000
3BHK ,"1,800",Delhi,Sector 3 Dwarka,,38000
4BHK ,"1,800",Delhi,Sector 5 Dwarka,,38000
3BHK ,"1,800",Delhi,dwarka sector 17,,48000
3BHK ,"1,700",Delhi,Sector 22 Dwarka,,45000
4BHK ,"2,500",Delhi,Sector 6 Dwarka,,45000
3BHK ,"1,800",Delhi,Sector 19 Dwarka,,40000
3BHK ,"1,900",Delhi,Sector 4 Dwarka,,35000
2BHK ,"1,000",Delhi,Paschim Vihar,,28000
3BHK ,365,Delhi,Karampura,,15000
3BHK ,"1,500",Delhi,Vasant Kunj,,70000
3BHK ,"1,800",Delhi,Sector-B Vasant Kunj,,75000
3BHK ,900,Delhi,Vasant Kunj,,26000
3BHK ,"1,600",Delhi,Sector-B Vasant Kunj,,60000
3BHK ,450,Delhi,Chattarpur,,10000
3BHK ,"1,800",Delhi,Greater Kailash,,113000
4BHK ,"3,150",Delhi,Greater Kailash,,150000
4BHK ,"2,700",Delhi,Greater Kailash,,170000
3BHK ,"2,400",Delhi,Greater Kailash,,105000
3BHK ,"2,450",Delhi,Greater kailash 1,,127000
3BHK ,"2,450",Delhi,Greater kailash 1,,127000
4BHK ,"2,900",Delhi,Chittaranjan Park,,150000
Studio ,360,Delhi,Karampura,,23500
Studio ,360,Delhi,Karampura,,22000
1BHK ,540,Delhi,Ramesh Nagar,,18000
2BHK ,"1,000",Delhi,Preet Vihar,,12000
2BHK ,675,Delhi,Dabri,,16000
2BHK ,675,Delhi,Dabri,,12000
2BHK ,500,Delhi,Bindapur,,18000
1BHK ,450,Delhi,Sagar Pur,,8500
3BHK ,900,Delhi,Dabri,,21000
3BHK ,900,Delhi,Dashrath Puri,,32000
3BHK ,"1,125",Delhi,Chattarpur,,35000
3BHK ,"1,300",Delhi,Chattarpur,,40000
3BHK ,"1,150",Delhi,Chattarpur,,35000
3BHK ,"2,700",Delhi,Greater kailash 1,,80000
2BHK ,450,Delhi,Uttam Nagar,,9000
3BHK ,"2,500",Delhi,East of Kailash,,125000
3BHK ,"2,700",Delhi,Greater Kailash,,90000
3BHK ,"1,440",Delhi,Chittaranjan Park,,75000
3BHK ,"1,872",Delhi,Greater kailash 1,,110000
3BHK ,"2,000",Delhi,Greater Kailash,,90000
3BHK ,"1,872",Delhi,Greater kailash 1,,99999
3BHK ,"1,872",Delhi,Greater kailash 1,,121000
3BHK ,"1,872",Delhi,Greater Kailash,,85000
2BHK ,"1,800",Delhi,DLF Phase 5,,42000
2BHK ,"1,200",Delhi,Munirka,,45000
3BHK ,450,Delhi,Munirka,,15000
3BHK ,650,Delhi,Munirka,,15500
2BHK ,"1,200",Delhi,Munirka,,37000
2BHK ,"1,100",Delhi,Munirka,,35000
Studio ,300,Delhi,Munirka,,9600
2BHK ,"1,200",Delhi,Munirka,,37000
3BHK ,"1,800",Delhi,Anand Niketan,,225000
3BHK ,"1,800",Delhi,mayur vihar phase 1,,20000
2BHK ,"1,250",Delhi,Govindpuri Extension,,26000
3BHK ,"1,200",Delhi,Govindpuri Extension,,26000
2BHK ,"1,200",Delhi,Greater Kailash,,45000
3BHK ,"1,450",Delhi,Mansarover Garden,,35000
1BHK ,550,Delhi,Ramesh Nagar,,17500
2BHK ,900,Delhi,Rajouri Garden,,25500
3BHK ,"1,510",Delhi,Rajouri Garden,,34000
1BHK ,560,Delhi,Patel Nagar,,18000
3BHK ,"1,350",Delhi,Ramesh Nagar,,35000
4BHK ,"2,400",Delhi,Mansarover Garden,,65000
3BHK ,"1,800",Delhi,Kirti Nagar,,55000
2BHK ,"1,100",Delhi,Ramesh Nagar,,27000
1BHK ,520,Delhi,Janakpuri,,18000
1BHK ,560,Delhi,Ramesh Nagar,,18000
1BHK ,600,Delhi,Tagore Garden Extension,,16000
2BHK ,"1,100",Delhi,Ramesh Nagar,,18000
Studio ,450,Delhi,Model Town,,16000
2BHK ,720,Delhi,Janakpuri,,18000
3BHK ,"1,700",Delhi,Sector 5 Dwarka,,32000
3BHK ,950,Delhi,Dwarka Mor,,37000
2BHK ,750,Delhi,Chattarpur,,12000
3BHK ,450,Delhi,Chattarpur,,8000
3BHK ,500,Delhi,Rajpur Khurd Village,,12000
3BHK ,550,Delhi,Chattarpur,,9500
3BHK ,500,Delhi,Chattarpur,,11000
3BHK ,450,Delhi,Chattarpur,,8500
2BHK ,750,Delhi,Chattarpur,,15000
3BHK ,"1,700",Delhi,Sector 5 Dwarka,,32000
1BHK ,700,Delhi,Freedom Fighters Enclave,,17500
1BHK ,700,Delhi,Saket,,16500
1BHK ,700,Delhi,Saket,,12000
2BHK ,"1,000",Delhi,Saket,,14000
2BHK ,"1,000",Delhi,Saket,,27000
3BHK ,650,Delhi,Saket,,17000
2BHK ,900,Delhi,Saket,,25000
3BHK ,650,Delhi,Saket,,14000
3BHK ,600,Delhi,Saket,,19000
2BHK ,950,Delhi,Saket,,30000
3BHK ,700,Delhi,Saket,,19000
3BHK ,700,Delhi,Saket,,12000
3BHK ,"1,125",Delhi,Naraina,,40000
3BHK ,"1,800",Delhi,Naraina,,35000
3BHK ,"1,800",Delhi,Naraina,,40000
3BHK ,"1,800",Delhi,Naraina,,50000
3BHK ,"1,800",Delhi,Naraina,,55000
4BHK ,"2,700",Delhi,Naraina,,75000
4BHK ,"2,700",Delhi,Naraina,,85000
4BHK ,"2,700",Delhi,Naraina,,90000
4BHK ,"4,500",Delhi,Naraina,,100000
4BHK ,"4,500",Delhi,Naraina,,130000
2BHK ,900,Delhi,Inderpuri,,23000
1BHK ,900,Delhi,Inderpuri,,15000
2BHK ,900,Delhi,Inderpuri,,18000
2BHK ,"1,800",Delhi,Inderpuri,,35000
2BHK ,"1,800",Delhi,Inderpuri,,40000
3BHK ,"1,800",Delhi,Inderpuri,,50000
2BHK ,900,Delhi,Inderpuri,,20000
3BHK ,"1,200",Delhi,Inderpuri,,40000
3BHK ,"1,800",Delhi,Naraina,,45000
2BHK ,900,Delhi,Inderpuri,,18000
4BHK ,"4,500",Delhi,Inderpuri,,80000
3BHK ,"1,800",Delhi,Naraina,,45000
2BHK ,"1,125",Delhi,Naraina,,20000
4BHK ,"2,700",Delhi,Naraina,,65000
3BHK ,"1,200",Delhi,Inderpuri,,40000
2BHK ,"1,125",Delhi,Naraina,,23000
2BHK ,"1,125",Delhi,Naraina,,20000
2BHK ,"1,125",Delhi,Naraina,,25000
3BHK ,"1,125",Delhi,Naraina,,35000
1BHK ,650,Delhi,Patel Nagar,,19700
2BHK ,900,Delhi,Malviya Nagar,,35000
3BHK ,"2,500",Delhi,Panchsheel Park,,90000
2BHK ,900,Delhi,Malviya Nagar,,45000
2BHK ,900,Delhi,Malviya Nagar,,40000
4BHK ,"2,200",Delhi,Malviya Nagar,,95000
1BHK ,550,Delhi,Malviya Nagar,,26000
1BHK ,700,Delhi,Panchsheel Park,,43000
1BHK ,450,Delhi,Shastri Nagar,,8000
4BHK ,"2,700",Delhi,Kalkaji,,250000
2BHK ,"1,000",Delhi,Patel Nagar,,30000
3BHK ,"1,200",Delhi,Dwarka Mor,,9000
1BHK ,340,Delhi,Dabri,,8200
3BHK ,690,Delhi,Uttam Nagar,,18000
3BHK ,"1,650",Delhi,Sector 3 Dwarka,,35000
3BHK ,900,Delhi,Dabri,,20000
1BHK ,500,Delhi,Dabri,,10500
4BHK ,"2,200",Delhi,Sector 19 Dwarka,,42000
3BHK ,"2,200",Delhi,Sector 11 Dwarka,,45000
4BHK ,"2,500",Delhi,Sector 10 Dwarka,,60000
4BHK ,"2,200",Delhi,Sector 13 Dwarka,,40000
2BHK ,"1,300",Delhi,Sector 11 Dwarka,,25500
3BHK ,"1,800",Delhi,Sector 7 Dwarka,,30000
4BHK ,"2,200",Delhi,Sector 12 Dwarka,,62000
2BHK ,800,Delhi,Chattarpur,,15000
2BHK ,800,Delhi,Chattarpur,,15000
3BHK ,450,Delhi,Chattarpur,,9500
2BHK ,800,Delhi,Chattarpur,,14500
3BHK ,440,Delhi,Chattarpur,,10000
3BHK ,450,Delhi,Rajpur,,14000
2BHK ,800,Delhi,Chattarpur,,15000
Studio ,367,Delhi,Karampura,,25000
Studio ,365,Delhi,Karampura,,16000
Studio ,365,Delhi,Karampura,,20000
Studio ,365,Delhi,Karampura,,16000
3BHK ,367,Delhi,Karampura,,17000
2BHK ,"1,000",Delhi,Patel Nagar,,30000
2BHK ,"1,000",Delhi,Patel Nagar,,35000
3BHK ,"1,500",Delhi,Bali Nagar,,37000
3BHK ,"1,350",Delhi,Naraina,,40000
3BHK ,"1,125",Delhi,Naraina,,40000
3BHK ,"1,800",Delhi,Naraina,,35000
3BHK ,"1,800",Delhi,Naraina,,40000
3BHK ,"1,800",Delhi,Naraina,,50000
3BHK ,"1,800",Delhi,Naraina,,55000
4BHK ,"2,700",Delhi,Naraina,,75000
4BHK ,"2,700",Delhi,Naraina,,85000
4BHK ,"2,700",Delhi,Naraina,,90000
4BHK ,"4,500",Delhi,Naraina,,100000
4BHK ,"4,500",Delhi,Naraina,,130000
2BHK ,900,Delhi,Inderpuri,,23000
3BHK ,"1,500",Delhi,Bali Nagar,,37000
2BHK ,900,Delhi,Chattarpur,,16000
2BHK ,875,Delhi,Chattarpur,,16000
2BHK ,864,Delhi,Chattarpur,,15000
2BHK ,880,Delhi,Chattarpur,,15000
2BHK ,"1,000",Delhi,Patel Nagar,,35000
3BHK ,500,Delhi,Sector 10 Dwarka,,20000
3BHK ,"1,500",Delhi,Sector 11 Rohini,,41000
1BHK ,520,Delhi,Govindpuri,,8500
2BHK ,680,Delhi,Govindpuri,,12300
3BHK ,"1,200",Delhi,Chattarpur,,35000
3BHK ,"1,200",Delhi,Chattarpur,,35000
2BHK ,700,Delhi,Rajpur Khurd Extension,,15000
3BHK ,450,Delhi,Rajpur Khurd Extension,,13000
3BHK ,450,Delhi,Chattarpur,,15000
3BHK ,550,Delhi,Rajpur Khurd Extension,,12000
3BHK ,450,Delhi,Chattarpur,,12000
2BHK ,700,Delhi,Rajpur Khurd Extension,,15000
3BHK ,450,Delhi,Chattarpur,,15000
3BHK ,"1,200",Delhi,Chattarpur,,35000
3BHK ,"2,250",Delhi,Sarvpriya Vihar,,75000
4BHK ,"2,250",Delhi,Safdarjung Enclave,,130000
4BHK ,"3,150",Delhi,Sarvpriya Vihar,,165000
1BHK ,"1,200",Delhi,Sarvpriya Vihar,,37000
3BHK ,"1,500",Delhi,Sarvpriya Vihar,,90000
2BHK ,"1,500",Delhi,Sarvpriya Vihar,,45000
2BHK ,"1,800",Delhi,Sarvodaya Enclave,,47200
2BHK ,"1,500",Delhi,Navjeevan Vihar,,51000
Studio ,365,Delhi,Karampura,,23000
3BHK ,365,Delhi,Karampura,,30000
Studio ,365,Delhi,Karampura,,13000
Studio ,367,Delhi,Karampura,,17000
Studio ,365,Delhi,Karampura,,24000
Studio ,367,Delhi,Karampura,,12000
Studio ,367,Delhi,Karampura,,25000
Studio ,365,Delhi,Karampura,,16000
Studio ,365,Delhi,Karampura,,20000
Studio ,365,Delhi,Karampura,,16000
3BHK ,367,Delhi,Karampura,,17000
3BHK ,"1,500",Delhi,Sector 11 Rohini,,41000
2BHK ,750,Delhi,Sector 19 Dwarka,,30500
4BHK ,"2,200",Delhi,Sector 22 Dwarka,,65000
2BHK ,750,Delhi,Sector 19 Dwarka,,35000
3BHK ,"1,500",Delhi,Sector 11 Rohini,,41000
3BHK ,"1,150",Delhi,Uttam Nagar,,25000
2BHK ,550,Delhi,Dwarka Mor,,15000
3BHK ,"1,080",Delhi,Dwarka Mor,,20000
4BHK ,"1,440",Delhi,Dwarka Mor,,35000
3BHK ,900,Delhi,Dwarka Mor,,20000
3BHK ,"1,350",Delhi,Chattarpur,,50000
3BHK ,"2,700",Delhi,Sarvodaya Enclave,,90000
3BHK ,"3,600",Delhi,Green Park Extension,,85000
3BHK ,"2,700",Delhi,Sarvodaya Enclave,,90000
2BHK ,"1,850",Delhi,Uday Park,,85000
Studio ,700,Delhi,Hauz Khas,,18000
2BHK ,"1,500",Delhi,Geetanjali Enclave,,55000
2BHK ,"1,600",Delhi,Navjeevan Vihar,,50000
1BHK ,"1,100",Delhi,Green Park Extension,,33000
3BHK ,"2,300",Delhi,Navjeevan Vihar,,65000
3BHK ,"1,500",Delhi,Sheikh Sarai,,30000
3BHK ,"1,500",Delhi,Sheikh Sarai,,75000
3BHK ,"1,200",Delhi,Sheikh Sarai,,25000
4BHK ,"4,500",Delhi,Greater Kailash II,,300000
3BHK ,"1,600",Delhi,Greater kailash 1,,200000
4BHK ,"3,600",Delhi,Vasant Vihar,,425000
4BHK ,"2,800",Delhi,Defence Colony,,300000
4BHK ,"1,450",Delhi,Sector 11 Rohini,,35000
1BHK ,520,Delhi,Govindpuri,,8500
2BHK ,"1,000",Delhi,Vishnu Garden,,14000
1BHK ,420,Delhi,Shahdara,,8500
3BHK ,"1,350",Delhi,Chattarpur,,50000
3BHK ,"1,550",Delhi,Jasola,,43000
Studio ,365,Delhi,Karampura,,23000
3BHK ,365,Delhi,Karampura,,30000
Studio ,365,Delhi,Karampura,,13000
Studio ,367,Delhi,Karampura,,17000
Studio ,365,Delhi,Karampura,,24000
Studio ,367,Delhi,Karampura,,12000
Studio ,367,Delhi,Karampura,,25000
2BHK ,700,Delhi,Rajpur Khurd Extension,,15000
3BHK ,450,Delhi,Chattarpur,,15000
3BHK ,"1,200",Delhi,Chattarpur,,35000
2BHK ,800,Delhi,Chattarpur,,20000
2BHK ,800,Delhi,Chattarpur,,18000
2BHK ,900,Delhi,Chattarpur,,30000
3BHK ,"2,100",Delhi,South Extension 2,,160000
3BHK ,"2,000",Delhi,Safdarjung Enclave,,140000
3BHK ,750,Delhi,Sheikh Sarai,,22500
4BHK ,"2,500",Delhi,Sheikh Sarai,,160000
3BHK ,900,Delhi,Sheikh Sarai,,12500
3BHK ,"1,850",Delhi,Sheikh Sarai,,40000
3BHK ,"1,500",Delhi,Sheikh Sarai,,30000
3BHK ,950,Delhi,Sheikh Sarai,,13500
3BHK ,"1,740",Delhi,Sheikh Sarai,,40000
3BHK ,"1,200",Delhi,Sheikh Sarai,,40000
3BHK ,"1,500",Delhi,Sheikh Sarai,,30000
Studio ,300,Delhi,Sheikh Sarai,,15000
Studio ,900,Delhi,Sheikh Sarai,,28000
2BHK ,"1,200",Delhi,Sheikh Sarai,,30000
4BHK ,"2,250",Delhi,Safdarjung Enclave,,130000
4BHK ,"3,150",Delhi,Sarvpriya Vihar,,165000
1BHK ,"1,200",Delhi,Sarvpriya Vihar,,37000
3BHK ,"1,500",Delhi,Sarvpriya Vihar,,90000
2BHK ,"1,500",Delhi,Sarvpriya Vihar,,45000
2BHK ,"1,800",Delhi,Sarvodaya Enclave,,47200
2BHK ,"1,500",Delhi,Navjeevan Vihar,,51000
2BHK ,700,Delhi,Sector 19 Dwarka,,30000
2BHK ,720,Delhi,Sector 19 Dwarka,,21000
2BHK ,750,Delhi,Sector 19 Dwarka,,26000
4BHK ,"2,250",Delhi,Sector 19 Dwarka,,70000
2BHK ,800,Delhi,Sector 19 Dwarka,,30000
2BHK ,720,Delhi,Sector 19 Dwarka,,30000
2BHK ,800,Delhi,Sector 19 Dwarka,,30000
2BHK ,800,Delhi,Sector 19 Dwarka,,25000
2BHK ,750,Delhi,Sector 19 Dwarka,,32000
2BHK ,750,Delhi,Sector 19 Dwarka,,30500
4BHK ,"2,200",Delhi,Sector 22 Dwarka,,65000
2BHK ,750,Delhi,Sector 19 Dwarka,,35000
3BHK ,"2,700",Delhi,Greater kailash 1,,135000
2BHK ,"1,200",Delhi,Sheikh Sarai,,30000
3BHK ,900,Delhi,Sheikh Sarai,,12500
3BHK ,"1,200",Delhi,Sheikh Sarai,,30000
2BHK ,900,Delhi,Sheikh Sarai,,26000
3BHK ,"1,000",Delhi,Sheikh Sarai,,15000
3BHK ,"1,500",Delhi,Sheikh Sarai,,30000
3BHK ,"1,500",Delhi,Sheikh Sarai,,75000
4BHK ,"4,500",Delhi,Greater Kailash II,,300000
3BHK ,"1,600",Delhi,Greater kailash 1,,200000
4BHK ,"3,600",Delhi,Vasant Vihar,,425000
4BHK ,"2,800",Delhi,Defence Colony,,300000
4BHK ,"1,450",Delhi,Sector 11 Rohini,,35000
1BHK ,470,Delhi,Bindapur,,8000
2BHK ,600,Delhi,Dwarka Mor,,12500
3BHK ,"1,800",Delhi,Pitampura,,48000
3BHK ,"1,700",Delhi,Sector 22 Dwarka,,33000
2BHK ,590,Delhi,Dwarka Mor,,8000
2BHK ,590,Delhi,Dwarka Mor,,8500
Studio ,367,Delhi,Karampura,,12000
3BHK ,367,Delhi,Karampura,,20000
Studio ,365,Delhi,Karampura,,13000
2BHK ,590,Delhi,Dwarka Mor,,8000
2BHK ,590,Delhi,Dwarka Mor,,8500
Studio ,365,Delhi,Karampura,,22000
3BHK ,365,Delhi,Karampura,,25000
3BHK ,365,Delhi,Karampura,,25000
3BHK ,"1,500",Delhi,Patparganj,,32000
8BHK ,"10,000",Delhi,Vasant Kunj,,250000
2BHK ,840,Delhi,Chattarpur,,18000
1BHK ,480,Delhi,Chattarpur,,16000
3BHK ,"1,500",Delhi,Patparganj,,35000
3BHK ,"1,600",Delhi,Patparganj,,45000
4BHK ,"1,700",Delhi,Patparganj,,45000
3BHK ,"1,300",Delhi,IP Extension,,35000
4BHK ,"2,200",Delhi,Anand Vihar,,70000
3BHK ,"1,400",Delhi,Patparganj,,35000
3BHK ,"1,400",Delhi,Patparganj,,29000
3BHK ,"1,500",Delhi,Patparganj,,36000
3BHK ,"1,500",Delhi,Patparganj,,38000
4BHK ,"1,600",Delhi,IP Extension,,45000
3BHK ,"2,000",Delhi,Anand Vihar,,55000
3BHK ,"2,000",Delhi,Anand Vihar,,80000
2BHK ,"1,000",Delhi,Patel Nagar,,30000
3BHK ,"1,600",Delhi,Sector 12 Dwarka,,35000
3BHK ,"2,200",Delhi,Sector 13 Dwarka,,45000
3BHK ,"1,650",Delhi,Sector 4 Dwarka,,34000
4BHK ,"4,500",Delhi,Punjabi Bagh,,200000
1BHK ,700,Delhi,Patel Nagar,,20000
4BHK ,"4,350",Delhi,Punjabi Bagh,,150000
4BHK ,"4,400",Delhi,Punjabi Bagh,,145000
Studio ,365,Delhi,Karampura,,14000
3BHK ,"2,000",Delhi,Patel Nagar,,70000
1BHK ,650,Delhi,Patel Nagar,,18000
1BHK ,550,Delhi,Patel Nagar,,19500
2BHK ,"1,050",Delhi,Patel Nagar,,34500
3BHK ,365,Delhi,Karampura,,25000
2BHK ,"1,200",Delhi,Patparganj,,31000
2BHK ,900,Delhi,Chattarpur,,18000
2BHK ,870,Delhi,Chattarpur,,25000
2BHK ,880,Delhi,Chattarpur,,16000
2BHK ,"1,150",Delhi,Chittaranjan Park,,45000
3BHK ,"2,700",Delhi,Greater Kailash,,120000
3BHK ,"1,800",Delhi,Kalkaji,,95000
3BHK ,"1,460",Delhi,Chittaranjan Park,,50000
2BHK ,820,Delhi,Dwarka Mor,,8500
2BHK ,540,Delhi,Dwarka Mor,,7500
2BHK ,800,Delhi,Dwarka Mor,,8000
2BHK ,"1,500",Delhi,Safdarjung Enclave,,47000
2BHK ,"1,000",Delhi,Saket,,22000
2BHK ,"1,000",Delhi,Saket,,20000
3BHK ,"1,800",Delhi,Saket,,30000
4BHK ,"2,100",Delhi,Saket,,45000
1BHK ,650,Delhi,Patel Nagar,,25000
2BHK ,"1,000",Delhi,Patel Nagar,,30000
1BHK ,500,Delhi,Patel Nagar,,18900
3BHK ,"1,800",Delhi,AGCR Enclave,,42000
3BHK ,"2,000",Delhi,Swasthya Vihar,,42000
3BHK ,"2,000",Delhi,Preet Vihar,,45000
3BHK ,"2,000",Delhi,Swasthya Vihar,,45000
3BHK ,"1,800",Delhi,Preet Vihar,,41000
4BHK ,"3,650",Delhi,Vasant Vihar,,300000
3BHK ,"2,100",Delhi,Defence Colony,,175000
3BHK ,"2,000",Delhi,Defence Colony,,250000
3BHK ,"2,925",Delhi,Defence Colony,,100000
3BHK ,"2,025",Delhi,Defence Colony,,250000
3BHK ,"2,000",Delhi,Jor bagh,,350000
3BHK ,"2,700",Delhi,Gulmohar park,,115000
3BHK ,"1,800",Delhi,Green Park Extension,,77000
4BHK ,"2,700",Delhi,Gulmohar park,,160000
3BHK ,"1,800",Delhi,Green Park,,85000
3BHK ,"2,500",Delhi,Gulmohar park,,70000
2BHK ,"1,500",Delhi,Green Park,,60000
2BHK ,"1,500",Delhi,Sarvodaya Enclave,,60000
3BHK ,"1,800",Delhi,Safdarjung Development Area,,135000
2BHK ,"1,800",Delhi,Green Park,,48600
4BHK ,"4,500",Delhi,Panchsheel Park,,145000
2BHK ,"1,500",Delhi,Green Park Extension,,65000
4BHK ,"3,150",Delhi,Green Park Extension,,165000
2BHK ,"1,500",Delhi,Safdarjung Development Area,,60000
2BHK ,"1,800",Delhi,Safdarjung Development Area,,60000
3BHK ,"1,800",Delhi,Hauz Khas,,65000
3BHK ,"2,250",Delhi,Hauz Khas,,110000
3BHK ,"5,000",Delhi,Hauz Khas,,250000
